"name","boat_type","length","double_cabins","wc"
"Mirakul 40",4,11.99,3,1
"Vela",1,15.39,5,3
"Mo-Ninety",4,10.70,1,1
"Feel Free",1,15.50,5,3
"Feeling",1,11.10,3,1
"Mira",1,11.99,3,2
"Venere",1,11.20,3,1
"GAIA",1,11.35,3,1
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Club",2,11.89,3,2
"Feeling Fine",1,12.34,3,2
"Felicitas",1,13.00,3,2
"Miss Malin",1,17.38,4,4
"Moorings 3900 - Club",2,11.89,4,2
"Moorings 3900 - Club",2,11.89,3,2
"Missis Stördi",4,11.60,2,2
"MISTY",1,13.85,4,2
"Miss Magic",1,13.45,3,2
"Mister Binguel",2,11.50,1,1
"Miyabi",1,10.28,3,1
"Moorings 393PC-Club",2,11.89,3,2
"Moorings 393PC-Club",2,11.89,3,2
"Miss Sunshine",1,12.40,3,2
"Fandango",1,12.93,3,2
"Falyann",1,15.24,4,4
"Fame",1,13.25,3,3
"Moorings 41.3 - Club",1,12.19,3,2
"Famiel",1,12.15,3,2
"Ifestos",1,12.55,3,2
"Fei Yu",1,9.99,2,1
"Moorings 41.3 - Club",1,12.19,3,2
"Moorings 41.3 - Club",1,12.19,3,2
"Fani",1,16.72,4,3
"Moorings 41.3 - Club",1,12.19,3,2
"FANOTEA",2,18.39,4,4
"Moorings 42.3 - Excl Plus",1,12.50,3,2
"Fantastique",1,9.80,2,1
"FARADAY",1,12.90,3,3
"Moorings 43.3 - Club",1,13.11,3,3
"Moja ti",1,14.60,5,3
"Mo",1,14.40,4,2
"Moorings 43.3 - Club",1,13.11,3,3
"FAUX PAS",1,11.47,3,1
"Moorings 434PC-Excl Plus",2,13.11,4,2
"Moorings 434PC-Excl Plus",2,13.11,4,2
"Moorings 434PC-Exclusive",2,13.11,4,2
"Febe",1,11.99,3,1
"Moorings 4500 - ExcL Plus",,13.72,4,4
"Moorings 4500 - Exclusive",,13.72,4,4
"Moorings 45.3 - Club",,13.72,3,3
"FIDELIO",2,13.96,4,4
"FERRETTI",1,14.27,4,3
"Filin",1,13.85,4,2
"Filou IV",1,13.00,4,2
"Festina Lente",1,15.43,3,3
"Moorings 45.3 - Exclusive",1,13.72,3,3
"Moorings 45.3 - Exclusive",1,13.84,3,3
"Moorings 45.4 - Club",1,13.72,4,2
"Free Will",1,13.30,4,2
"Moorings 45.4 - Excl Plus",1,13.72,4,2
"FIJI",1,11.95,3,2
"MOLAT",1,12.10,4,2
"Finnmaster T8",4,8.00,2,1
"Fineas",1,11.99,3,1
"Fiona",4,11.50,2,2
"Moorings 4800 - Club",2,14.63,4,4
"Moorings 4800 - Club",2,14.63,4,4
"Moorings 4800 - Club",2,14.63,4,4
"Moorings 514PC-Excl",2,15.24,4,5
"Firewall",1,15.59,5,3
"Moorings 4800 - Crewed",2,14.63,4,4
"Moorings 4800 - Crewed",2,14.63,4,4
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Fortuna V",2,13.61,4,4
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Moorings 48.4 - Excl",1,14.63,4,4
"Moorings 48.4 - Excl",1,14.63,4,4
"Moorings 48.4 - Excl",1,14.63,4,4
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Fomalhaut",1,13.09,4,3
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Four IV",2,11.97,4,4
"Fourten",1,12.35,3,1
"Moorings 514PC-Excl",2,15.24,4,5
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Free",1,12.85,3,2
"Free Style",2,11.98,4,2
"Fortune",1,13.85,4,2
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Moorings 5800 Crewed",,17.55,5,5
"MON AMIE",2,13.30,3,3
"Four II",1,16.75,4,4
"Moneta",1,13.95,4,2
"Moorings 434PC-Exclusive",2,13.11,4,2
"Moorings 4600 - Club",2,14.02,4,5
"Foxbat",1,11.95,4,2
"FOXTEAM",2,16.61,5,4
"MOPY 1",2,11.55,4,2
"Morana",1,12.35,3,2
"Fran",1,12.20,3,2
"More Fun",1,16.70,6,3
"Fuitina",1,10.28,3,1
"FREEGIÒ",1,13.05,4,2
"VENI",1,16.75,4,5
"Seafree",1,14.30,3,2
"fresh!connection",1,12.10,3,2
"Frigg",1,13.40,4,2
"Veni Vidi Vixi",1,13.95,4,2
"Futuro",1,19.98,2,4
"Gabita",1,13.76,3,2
"Gaidda",4,12.30,2,2
"Galaxy",1,12.15,3,2
"Gargano",1,13.95,4,2
"Gargano III",1,15.00,1,1
"""Morgan""",1,13.21,3,2
"Morgana",1,13.09,4,3
"Galata",1,14.07,3,2
"Galatea",1,14.40,3,2
"Galatea",1,14.40,4,2
"Morska Medvjedica",1,13.00,4,2
"TARA",1,11.55,3,2
"Galateia",1,12.00,3,2
"Morski čovik",1,12.35,3,2
"Garti",1,10.40,3,1
"Möwe II",1,16.20,3,2
"Joker",,5.70,0,1
"Gemini II",1,15.40,4,4
"Gde",1,13.52,4,2
"Gemini",2,12.61,4,4
"Gemini",1,12.90,3,2
"Geko",4,10.50,2,1
"GEMEAUX",2,13.30,1,1
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Exclusive",2,11.89,4,2
"Gemini",1,14.40,4,3
"GENERALIC",1,9.67,2,1
"Scorpius",1,11.40,3,1
"Moorings 3900 - Club",2,11.89,4,2
"MONTE CRISTO",1,13.65,4,2
"Moon Dancer",1,12.29,2,2
"Moorings 42.3 - Club",1,12.50,3,2
"Moorings 42.3 - Exclusive",1,12.50,3,2
"Moorings 43.3 - Club",1,13.11,3,3
"Moonlight",1,15.20,4,2
"Mrs. M",4,10.85,2,2
"Moorings 42.3 - Exclusive",1,12.50,3,2
"Muad'dib",1,11.10,3,1
"Moonmist",1,14.10,4,3
"Moorings 37.2 - Club",1,11.28,2,1
"Moorings 39PCX-Club",,11.89,3,2
"Moorings 4000 - Exclusive",2,12.19,3,2
"Moorings 3900 - Club",2,11.89,4,2
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Exclusive",2,11.89,4,2
"Gisela",2,12.00,4,4
"Moorings 37.2 - Club",1,11.28,2,1
"Giulia",2,11.50,4,2
"MUSCADE",2,11.73,4,2
"Scuttlebutt",1,12.13,3,2
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Club",2,11.89,4,2
"Moorings 3900 - Club",2,11.89,3,2
"Moorings 3900 - Club",2,11.89,3,2
"SEA ANGEL",1,13.75,3,2
"GIRAGLIA",1,15.42,5,3
"Giulia II",2,11.50,4,2
"Moorings 394PC-Club",2,11.89,4,2
"SEA ASSTA",4,11.00,2,2
"Moorings 394PC-Club",2,11.89,4,2
"Girodiboa",1,13.95,4,2
"Giuli",1,12.35,3,2
"My cat",2,11.74,6,2
"Giu.Do",1,14.27,4,3
"My Elfri",1,12.00,3,2
"Moorings 4000 - Excl Plus",2,12.19,4,2
"SEACHANGE",2,0.00,4,2
"Grace",4,21.74,4,3
"Greenland",2,12.00,4,4
"m.y Happy Days",4,9.95,2,1
"Golden Nugget",2,11.60,4,2
"God & Sea",4,19.86,2,2
"Moorings 432 - Club",1,13.11,3,2
"Gof",1,11.70,3,1
"GOLDEN DREAMS",1,13.65,4,2
"Goletta",3,22.60,5,5
"Moorings 43.3 - Club",1,13.11,3,3
"My Lady",1,14.15,4,2
"Goga Kiss",1,12.15,3,1
"Moorings 45.3 - Club",,13.72,3,3
"My Precious",1,16.06,4,3
"My Toy",1,12.35,3,2
"Grandezza 27 OC",4,8.30,1,1
"My Point",1,12.35,3,2
"Moorings 4600 - Club",2,14.02,4,5
"MYSTIC DREAMS",1,16.16,6,3
"Great Pleasure",1,14.73,3,3
"Moorings 4600 - Club",2,14.02,4,5
"Moorings Crewed 4600",2,14.02,4,5
"My way",1,16.75,3,4
"Grumete",1,13.76,3,2
"My Way",1,16.10,5,5
"Moorings 4800 - Excl Plus",2,14.63,4,4
"H385-1",1,11.40,3,1
"GUREAITXE",1,11.00,3,1
"Hadriel",1,15.40,3,3
"Halo",1,13.05,3,2
"Hana",1,10.40,3,1
"guanajo",1,15.40,5,3
"Moorings 48.4 - Excl",1,14.63,4,4
"Moorings 50.5 - Club",1,15.24,5,5
"ISLE DANCE II",1,14.97,4,4
"GURE AITXE",1,11.00,3,1
"SEACLUSION",2,12.20,4,4
"Nabucco",1,14.27,4,3
"Moorings 50.5 - Club",1,15.24,5,5
"Moorings 50.5 - Club",1,15.24,5,5
"Moorings 51.4 - Club",,15.24,4,5
"NAIMA",1,13.60,3,2
"Hamal",1,12.71,4,2
"Moorings 514PC-Crewed",2,15.24,4,5
"Moorings 514PC-Excl",2,15.24,4,5
"Hako II",4,13.13,2,2
"Moorings 5800 Crewed",,17.68,5,5
"Hanse 415 I",1,13.45,3,2
"Moorings 5800 Crewed",,17.68,6,5
"Hanse 455 I",1,13.95,4,2
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Hanse 455 II",1,13.95,4,2
"Hanse 505 II",1,14.85,4,3
"Hanse 575 II",1,17.38,4,4
"NALU",1,11.97,3,2
"MORISOT",1,12.47,3,2
"Kalamary",1,9.99,2,1
"Hanni",1,11.30,3,1
"Miss Behavin'",1,9.62,2,1
"Nancy",1,11.55,3,1
"NATA",1,15.40,3,3
"NATA",1,15.60,4,3
"Happy",1,12.85,3,2
"Natali",1,13.45,3,2
"Natalie 1",1,11.99,3,2
"Happiness",2,12.61,3,3
"Natus",1,13.50,4,2
"Happy",1,11.25,3,1
"Happy Nest II",2,11.97,4,4
"MORSKI VJETAR",1,16.38,4,4
"Morski zekan",1,11.20,3,1
"Ikinci",1,12.14,3,2
"Hatoup",1,8.70,2,1
"ILOI",2,11.90,4,2
"Imagine",1,11.08,3,1
"Heaven",1,10.34,2,1
"MOXIE",2,13.26,3,3
"Heaven can wait",1,15.40,5,3
"Helia 44",2,13.30,4,4
"Nebbiolo",1,16.75,5,4
"Henry",1,11.23,3,1
"NEEL 45 2015",2,13.41,3,2
"Nefeli",1,12.35,3,2
"Nefeli",1,13.40,3,2
"Hera",1,12.35,3,2
"Mrci",1,13.05,4,2
"Hercules",1,12.15,3,2
"Hiera",1,15.07,4,4
"Hook",1,12.90,3,2
"NEKO",2,11.00,3,1
"Holiday 10",3,39.00,8,10
"Muškat",1,15.40,5,3
"HOPE",1,11.99,3,2
"Moorings 43PC - Exclusive",,13.11,3,2
"Munja",1,15.40,5,3
"Venus Planet",1,11.23,3,2
"KIA ORA 2",2,12.20,4,4
"Hrvoje",1,11.10,3,1
"HULLY-GULLY",2,14.30,4,4
"NEPTUNE",2,24.99,8,8
"Hyde",1,12.35,3,2
"Ibis",1,15.80,5,5
"Idda",1,15.65,4,4
"Sea Dancer",1,11.00,3,1
"Idra",1,14.05,4,4
"Ifigenia",1,12.13,3,1
"Nereus",2,13.72,4,4
"IDEA!",2,15.54,4,5
"Chouquette",1,11.77,3,2
"My Destiny",2,18.90,4,4
"Ika Roa",1,12.85,3,2
"Il Fratello",3,26.00,4,4
"INDY",2,12.00,4,2
"India",1,9.99,2,1
"KALLISTI",2,11.74,4,4
"Infinity",1,13.95,4,2
"(New)",1,10.28,3,1
"Infinity",2,15.54,4,4
"NEW",2,12.00,4,4
"Ioli",1,14.40,4,3
"Irena II",4,15.75,3,1
"Iona",1,10.94,3,1
"NADA",1,10.45,2,1
"IR",1,12.99,3,2
"SUSIE Q",1,11.75,3,1
"NEW",1,14.60,5,3
"Iokasti",1,14.40,4,2
"take a break",1,13.45,3,2
"NEW 1",2,11.74,6,4
"NAIADA",1,11.55,3,2
"NEW 2",2,11.74,6,4
"New 2017",1,12.76,3,2
"Iris",1,10.66,3,1
"New 2017",1,10.34,3,1
"IRYS I",2,11.97,4,4
"Moorings 4400 - Club",,13.41,4,4
"Iris",2,11.98,4,4
"Irmak",1,12.99,3,2
"Hanse 505 - NN",1,14.85,4,3
"Irish Mist",1,13.21,4,2
"NATALIJA",1,12.00,3,2
"Irys II",2,13.96,4,4
"Manamana",1,11.40,3,1
"MOJITO",1,15.20,4,2
"Isys II",2,12.00,4,4
"IVKA 1",1,15.40,3,3
"Ivolga",1,10.34,3,1
"Ivy",1,13.45,3,2
"Neda 1",1,13.50,4,2
"Vera",1,12.50,3,2
"NAUGHTY THERIA",1,12.34,3,2
"Island Dream",1,9.91,2,1
"Issa",1,10.71,2,1
"NAVA",1,12.13,3,1
"ANGIE",1,11.75,3,1
"ACE OF SPADES",1,11.75,3,1
"DUST IN THE WIND",1,11.75,3,1
"Purple Rain",1,13.95,4,2
"TEQUILA SUNRISE",1,11.75,3,1
"NN4 2017",1,13.95,4,2
"Jade",2,11.97,3,2
"JAMAICA",2,18.28,6,6
"IMAGINE",1,11.75,3,1
"BILLIE JEAN",1,11.75,3,1
"Izar",1,10.34,3,1
"Neptun",1,10.50,3,1
"NEW Avalon",1,14.85,5,2
"J",1,9.15,2,1
"Negroni",1,10.34,3,1
"Jade I",2,13.96,4,4
"JACOMINA H",1,14.97,4,5
"Nemesis",1,11.99,3,2
"Jana",1,9.60,2,1
"Nemo",2,13.61,4,4
"Jannu",1,16.75,4,4
"Nesi 2",1,13.65,4,2
"Celia",2,13.61,4,4
"Sea Dancer",1,14.98,4,3
"Jelena",1,12.00,3,1
"JessieA",1,16.06,5,4
"JJ B HORIZON L",2,12.61,4,4
"Lambada",1,11.48,3,1
"Jekyll",1,10.60,2,1
"Seafree",4,21.74,5,4
"Joanna",1,14.27,4,3
"Joy",1,11.99,3,2
"Joya",1,12.17,3,2
"J P Carine",1,14.30,3,3
"Ali",1,9.96,2,1
"Seafree",1,14.30,3,2
"Sea free I",1,17.78,3,3
"NN1 2017",1,13.95,4,2
"Moorings 4400 - Exclusive",2,13.41,4,4
"Julius Cäsar",2,12.61,4,4
"Junior",4,7.10,0,0
"NEW D412 2017 - BT",1,12.35,3,2
"Hanse 455 - NN",1,13.95,4,2
"Juwel",1,14.20,4,2
"Kalima",1,12.00,3,2
"KALIMBA",1,13.65,3,2
"Seagoll",1,12.55,3,2
"KALLISTI",2,11.74,4,4
"NEW Aurum",1,13.95,4,2
"NEW FACES",2,11.89,4,2
"Kalima",1,15.56,3,3
"NEW HORIZON C.",2,13.96,4,4
"NEW - no name1",1,15.20,5,2
"NEW - no name 1",1,14.15,4,4
"NEW - no name 2",1,15.20,5,2
"NEW - no name 2",1,14.15,4,4
"Kaštelet",1,11.99,3,2
"Käte",1,12.13,3,1
"KATINA",1,11.20,3,1
"SEAGRAPE",1,10.94,3,1
"NEW Skipper obligatory",2,13.96,6,4
"Karpo",1,13.60,4,2
"KIA ORA",2,11.89,4,4
"Katalina",1,12.38,3,2
"Kaus Australis (SXM)",2,13.96,4,4
"SEAGRAPE II",1,11.15,3,1
"Seagull",1,13.15,4,2
"Katalina",4,9.98,1,1
"NEW WAVE (OTG)",2,18.17,6,6
"Katarina",1,11.20,3,1
"Nick",1,16.20,4,4
"Kate",1,15.62,4,4
"Tersane 8",3,42.00,10,15
"Lara",1,12.00,3,1
"KATHARINA",1,14.40,4,2
"New York 60",1,12.46,3,1
"Katana",4,13.95,3,2
"Katarina II",1,13.05,4,2
"Kate",1,10.45,2,1
"Kate",1,11.10,3,1
"Katerina",1,13.95,4,2
"Nietta",1,16.75,4,4
"Kefajoda",1,10.34,2,1
"Tessi Kiss",1,13.34,4,2
"SEA HOPE",1,11.30,3,1
"Nika I",1,14.40,4,2
"Nikka",1,13.95,4,2
"Kereon Bleu",1,14.50,4,2
"KOMMA",1,9.45,2,1
"LGS 29.9",4,9.75,2,2
"KOS 379",1,11.48,3,1
"Nikolaos",1,14.65,4,2
"Kiboko",4,10.90,2,1
"Nina",1,10.45,2,1
"Nina Nina",1,10.71,2,1
"Kiki Kiss",1,9.96,2,1
"KILIGWENDARI",1,11.86,2,1
"Kilimati",1,13.95,4,2
"Kir",1,12.34,3,2
"King of Lion",1,13.62,4,2
"Nisì",1,12.43,3,2
"Kiwi I",2,11.55,4,2
"Kiwi II",2,11.55,4,2
"NOVENITA LANZAROTE",1,13.76,4,2
"CONGRE",4,6.04,0,0
"NISSOS KEA II",1,13.05,3,2
"Kocerka",1,6.34,1,1
"Kokomo III",2,14.00,4,4
"Know Tan Lines",2,11.89,3,2
"KOS 41.3",1,12.43,3,2
"Nina",1,13.95,4,2
"Konstantinos (B37)",1,11.20,3,1
"Kores",1,15.62,4,3
"Nina",4,10.80,2,1
"KOS 38.3",1,11.25,3,1
"Ella I",1,16.75,5,4
"KOS 41.1",1,12.43,3,2
"KOS 41.4",1,12.38,3,2
"Nivius",1,11.40,3,1
"NN1",1,12.35,3,2
"Kos 45.5",1,13.65,4,2
"KOS 479.1",1,14.05,4,4
"NN10",1,12.35,3,2
"Kristina",1,9.95,2,1
"Kristina",1,11.20,3,1
"Krka",1,12.30,3,1
"Kron",1,11.82,3,1
"Kronos",1,12.34,3,2
"NN4",1,12.37,3,2
"Kuzey T",4,47.50,5,9
"Kydonia",1,10.34,3,1
"AQUA JANA",1,10.71,3,2
"NOLAN",1,9.95,2,1
"NN4",1,12.35,3,2
"Moorings 4800 - Exclusive",2,14.63,4,4
"NN5",1,12.35,3,2
"NN5",1,12.37,3,2
"Ladies and Gentelman",2,13.96,6,4
"Lady A",4,11.47,2,1
"NNY2",1,13.76,4,2
"lady C",1,11.35,2,1
"Lady Helen II",2,13.96,6,4
"Adria Sun",1,12.15,3,1
"Lady Linda",1,13.34,3,2
"Lady Rachel",2,18.90,4,6
"Lag38007",2,11.55,4,2
"Lag38009",2,11.55,4,2
"Noah",1,10.34,3,1
"NOAH",1,12.38,3,2
"Lag400s202",2,11.98,4,4
"La Luna",1,14.40,3,2
"Nomad",1,12.00,3,1
"Nomelli",2,11.00,6,2
"Nomia",1,14.05,4,4
"no name",4,7.42,2,1
"Lagoon 400 S2",2,11.98,4,4
"Moorings 45.3 - Excl Plus",1,13.72,3,3
"NEW",2,13.96,6,4
"no name",1,14.60,4,5
"Lagoon 39",2,11.74,4,4
"MONTAIGNE",2,11.55,4,2
"Athos",1,7.50,1,1
"Adria Maša",1,9.99,3,1
"La Paloma Blanca",1,11.19,3,1
"LYRA",1,11.90,3,2
"Lampetia",1,13.85,2,2
"Larus",1,12.00,3,2
"Lana",1,10.45,2,1
"La Perla",1,12.17,3,2
"La Perla Florentina",2,13.96,6,4
"No Name R3",1,10.28,3,1
"Adria Nina",1,11.20,3,1
"Laura",2,11.98,4,4
"LAURA",2,13.72,5,4
"Adria Kristina",1,14.40,4,3
"Adria Myriam",1,14.40,4,3
"Leader 8",4,8.95,1,1
"Laura II",4,9.20,2,1
"Lauxane",2,12.80,4,4
"L AVANT",2,11.89,4,2
"La Vie Dansante",1,14.33,3,2
"Leading Lady",1,15.40,5,3
"LE BERNIN",1,13.50,4,2
"Leblon",1,14.98,4,4
"LAVSA",1,11.20,3,1
"Lela",1,11.33,3,1
"LAZY DAY",4,10.28,2,1
"Non Può Essere",1,9.75,2,1
"Nora",1,15.59,4,3
"Lea I",1,15.40,5,3
"Norma",1,14.50,4,2
"Le Philae",2,13.96,4,4
"Northern Breeze",1,11.40,3,1
"No Way",1,11.30,3,1
"Leochlea",1,11.19,3,1
"Les Jumeaux",2,11.74,3,2
"Lia",1,11.23,2,1
"Libertá",1,14.27,4,3
"Northern Lights",2,11.15,3,2
"NORTH SEYMOUR",1,10.61,3,1
"MONTSERRAT",1,12.43,3,2
"Norwegian Lady",1,14.73,4,4
"NOSAURITO",1,12.35,3,2
"No Stress",2,11.98,4,2
"LES TROYENS",1,11.23,3,2
"NOUGATESS-14",1,10.28,2,1
"LGS 29.9",4,9.75,2,2
"Numo",4,6.00,0,1
"Moorings 4600 - Club",2,14.02,4,5
"Nusa Kami",2,11.97,4,2
"KIWI VI",2,11.50,4,2
"OAHU",1,12.86,3,2
"ESTELA",1,13.65,4,2
"THONIC TEAM II-10",2,13.47,4,4
"Moorings 4800 - Club",2,14.63,4,4
"Oasis",1,13.85,3,2
"Obelix",1,11.82,3,2
"Lion Around",2,18.90,4,5
"Lioness",1,13.50,4,2
"Tigris",1,13.05,4,2
"Little Hanni",1,9.60,2,1
"Linssen 40.9AC",4,12.85,3,2
"Oc 500",1,15.40,5,4
"VieniViaConMe",1,13.50,4,3
"Lisa IX",1,12.99,4,3
"Lionheart",2,11.89,4,2
"LIPARI 41 2010",2,11.95,4,2
"LIPARI 41 2011",2,11.95,4,2
"LIPARI 41 2012",2,11.95,4,2
"Oceanis 311/2",1,9.45,2,1
"Oceanis 373/3/1",1,11.28,3,1
"Little Secret",1,16.72,4,3
"Oceanis 37",1,11.47,3,1
"Oceanis 373/3/1",1,11.28,3,1
"Oceanis 38",1,11.25,3,2
"Lola",2,11.60,4,2
"Oceanis 38",1,11.58,3,2
"Oceanis 38",1,11.25,3,2
"Oceanis 38",1,11.58,3,2
"LLEVANT D'ES GRAU",4,10.45,2,1
"LULLY",1,11.15,3,2
"Dani",1,11.59,3,2
"NABUCCO",1,14.60,4,3
"LADY DAZE",1,12.38,3,2
"Océanis 40",1,12.17,3,2
"OCEANIS 41",1,12.38,3,2
"Oceanis 43",,13.11,3,2
"Lost Cat",2,11.74,4,4
"Oceanis 423/3/3",1,12.80,3,3
"ANSCOMBE",1,12.38,3,2
"OCEANIS 48 - Prem Plus",1,14.63,5,3
"Lorikeet",1,11.30,3,1
"Lotta",1,11.23,3,1
"OCEANIS 50",1,15.10,4,3
"OCEANIS 50P",1,15.42,5,4
"Ocean Leopard",1,15.07,4,4
"LUA FUTUNA",2,13.61,4,4
"Oceanlord",1,15.38,5,3
"Lucija",1,12.00,3,1
"Lucy and Grace",4,14.00,4,4
"Lucy",4,10.55,2,1
"Odin",1,15.00,5,4
"Ocean Prosperity",2,12.00,4,4
"OCEAN SUN",2,13.96,4,4
"LUNASEA",2,11.50,4,2
"LUNGA",1,11.32,3,1
"Luna Piena",1,13.65,4,2
"Luna V",1,12.83,3,2
"LURI",4,10.35,2,1
"Moorings 4800 - Exclusive",2,14.63,4,4
"Luziana",1,14.75,2,2
"Lynn",1,13.52,4,2
"Magia",4,15.32,3,2
"Moorings 4800 - Club",2,14.63,4,4
"Maca",1,12.99,3,2
"Maci",1,11.20,3,1
"Odette",1,11.10,3,1
"Odevi",1,13.50,3,2
"Odile",1,12.32,3,2
"Madagascar",2,13.96,5,5
"MADISON",2,11.90,4,2
"Odin",1,15.40,5,3
"Madeleine",4,11.70,1,1
"Odysseas",1,15.40,3,3
"ODYSSEE",2,12.50,4,2
"Odysseus",1,15.43,5,3
"MAGIC CARPET",2,14.33,4,4
"Magic Dream",1,12.34,3,2
"Odysseus",1,15.95,2,5
"OEDIPUS",1,14.40,3,2
"Ofelia",1,13.09,3,2
"OKA",1,11.40,3,1
"Old dream",2,13.61,4,5
"Magnet",2,13.47,4,4
"MAHE 36 2015",2,11.00,3,1
"Twist",1,13.65,4,2
"Maja",1,11.00,3,1
"MAKING MEMORIES",2,13.30,3,3
"MANGO V",2,13.96,4,4
"MAKARSKA II",1,13.21,3,2
"Mala",1,10.50,3,1
"MALAGA",1,11.23,3,2
"VARELA",2,11.74,4,2
"Malbec",1,14.40,4,3
"Olga",2,11.50,4,2
"Mare Calypso",2,11.55,3,2
"Olib",1,12.35,3,2
"Olipa",1,14.15,4,4
"ORANGE ANOUK",1,11.40,3,1
"Olivia",1,11.99,3,1
"Mambo",1,16.70,5,4
"ORANGE LILLY",1,11.30,3,1
"MANGO II",2,12.80,4,4
"MANGO I",2,12.00,4,4
"Olivia",2,11.89,3,2
"Manitù",3,16.84,4,2
"MANURERE",2,17.07,4,4
"MANGE TOUT",1,11.47,3,1
"Mango",1,14.40,4,2
"Olli",1,11.50,3,1
"OLYMPOS",1,12.38,3,2
"Mantiz",1,13.21,4,2
"Omega",1,11.25,3,1
"OMEGA",1,9.96,2,1
"Omerta",2,13.61,4,4
"Maraština",1,15.40,5,3
"Ondina",1,11.82,3,2
"Mar de Coral",4,10.45,2,1
"Maria",1,15.40,5,3
"Mare",1,11.55,3,1
"Mare",1,7.30,1,1
"One&Only",1,11.10,3,1
"MARE AUSTRALIS",4,10.44,1,1
"Maria Christina",1,13.70,3,2
"Marica",1,11.25,3,1
"Ontraxi",1,13.99,3,2
"Opal",1,13.10,4,2
"Marie Claire",1,18.31,4,3
"Optima",1,12.35,3,2
"Marina",1,11.10,3,1
"Orana 44",2,13.10,4,4
"ORANA II-11",1,11.19,3,1
"ORANGE FORTYFIVE",1,14.27,4,2
"ORANGE FUN",1,11.35,3,1
"Matta",4,8.56,1,1
"Marlena",2,18.90,6,6
"Marlene",2,11.60,4,2
"Marot",1,14.39,4,2
"Masquenada ( with TV )",1,11.99,3,1
"Hydra VIII",2,13.96,4,4
"ORANGE LOU",1,14.27,4,4
"Martini",1,11.50,3,1
"Match Point",1,12.46,3,1
"Matul",1,12.90,3,3
"MARTINA",1,11.40,3,1
"Masua",1,13.99,4,3
"Mataa",1,13.10,4,2
"MAXIMA",1,9.96,2,1
"MERCUREY",2,15.84,5,6
"MERRY MARY",2,11.74,4,2
"Moorings 4800 - Exclusive",2,14.63,4,4
"Marty.nica",1,13.10,4,2
"ORESTES",1,14.60,5,3
"MAXWELL",1,12.17,3,2
"Mary-Ann",4,10.00,3,1
"Matilda",1,11.47,3,1
"Orfeas",1,12.35,3,2
"Master II",2,13.61,6,4
"Orion",1,12.35,3,2
"Orinoco",1,15.62,4,3
"Mathan IV",1,7.90,1,1
"Orion",1,10.83,2,1
"Maui",2,13.96,4,4
"Maverick 1",1,13.85,4,3
"Orka",1,13.21,4,2
"Mediteraneo",1,16.70,5,4
"Mediteranneo",1,15.07,4,4
"Mediterranea",1,12.38,3,2
"Medo i Zeko",1,10.50,2,1
"Orlan",1,14.27,4,3
"MEER CAT",2,12.00,4,4
"ORMINDO",2,13.96,4,4
"Meli",1,14.27,4,3
"Oruda",1,10.40,3,1
"ORUDA",1,11.20,3,1
"MELINA",2,14.30,4,4
"MELINA",1,11.40,2,1
"Meltemi",1,13.95,4,2
"Menkar",1,11.20,3,1
"Oscar",1,11.35,3,1
"Oscar",1,10.60,3,1
"Panima",2,13.96,4,4
"Oscar",1,12.29,3,2
"Merry Fisher 725",4,7.15,1,1
"MH 67",1,12.35,3,2
"Midas",2,11.98,4,2
"MH 3",1,14.40,4,2
"MH 42",1,14.27,4,3
"Osprey",1,18.40,3,3
"MH 16",1,14.40,4,2
"OSPREY",2,15.82,5,5
"Osyan (skipper included)",1,19.20,4,3
"OTO 2",1,11.20,3,2
"OTTERTUDE",2,15.82,5,5
"MH 21",1,14.40,4,2
"Otto Mezzo",2,15.54,5,5
"Paris one",2,13.65,3,3
"Moorings 4800 - Crewed",2,14.63,4,4
"Twist & Shout",1,13.95,4,2
"MH 29",1,15.40,5,3
"MH 40",1,14.27,4,3
"OUR TIME",1,10.34,3,1
"MH 37",1,14.27,4,3
"MH 38",1,14.27,4,3
"PACE I SALUTE",1,12.35,3,1
"PAIRE de JACQUES",2,11.74,3,3
"Paloma 3",1,13.52,3,2
"Mi",1,12.15,3,2
"Miaplacidus",1,15.60,5,3
"Pamango",4,19.29,4,3
"Paso Doble",1,14.27,4,3
"Patriot",1,10.30,3,1
"Michelle",4,11.00,2,1
"MIKE CHARLIE",2,12.20,4,4
"Mija",1,12.75,3,2
"MIKE CHARLIE",2,11.97,4,4
"""Milena""",1,11.99,3,1
